,Tweet Text
132,Turut berdukacita 🙏🏻 https://t.co/JQo0JMkVqP
133,"📌...jangan sampai terulang kembali, harus ada evaluasi besar dan usut tuntas mulai dari awal insiden di stadion kanjuruhan https://t.co/EBGQMM0cn1"
134,Selamat Hari Minggu - Perjamuan Kudus 🙏🏻 https://t.co/NOYNiGTYHh
135,"But the Lord is faithful, and He will strengthen you and protect you from the evil one. - 2 Thessalonians 3:3"
136,Rest In Peace 🙏🏻 https://t.co/9JdhAIZcwK https://t.co/sPvoy3GU0n
137,"Life is going to give us just what we put into it. Put our whole heart in everything we do. Sometimes life doesn't give us something we want, not because we don't deserve it, but because we deserve more..."
138,Sometimes holding on is a sign of weakness. Sometimes letting go is a sign of strength...☕️
139,"@RaniKancana__ Kader apa jongos 🤔 , biasanya sih jongos yang kalo bosnya mau meeting udah sibuk nyiapin logistik"
140,"@RaniKancana__ Hajar ran ✊🏼, orang ini entah hidup dimana tapi cuitannya merendahkan masyarakat jateng padahal ngga paham situasi dan kondisi jateng"
141,"Cengeng banget hal begini di posting 🤣, katro 👎🏻 https://t.co/UJLIsy0suX"
142,"Coba lihat video ini dan bela hak mereka , hey @KomnasHAM https://t.co/RYc6qogyE4"
143,@Rojotortoise You're welcome 😍
144,"@Rojotortoise Keep the spirit in building artistic creativity , Yvonne"
145,"@Rojotortoise I like art , and poetry combined with pictures has extraordinary artistic value...😍"
146,"Ketika kehidupan terasa berantakan lalu bayangkan berapa banyak waktu yang tersedia agar dapat di tata kembali untuk jauh lebih baik lagi. Rusak bukan berarti hancur, hancur ketika tetap diam di tempat yang rusak dan semua butuh proses...☕️"
147,Yesssss 💙✊🏼 https://t.co/NTkC7FVd9k
148,@ex_AnakLolina @ChelseaFC Gollll 💙
149,Goallllll 💙✊🏼 https://t.co/eitAaktn5k
150,"Ngga pernah ke jateng tapi sok paham dengan jateng , kalau berani ke jateng dan coba bicara sama masyarakat jateng seperti cuitan kaw ini 🤔? https://t.co/LKyPXUbTJp"
151,@Leonita_Lestari Tuyul 🫢
152,"Itu lah kelemahan manusia bodoh seperti lo , berpikir dangkal tapi maksa mau jadi malaikat 🤣 https://t.co/i8Xw5YhnGl"
153,@arifin34533 @N4N_0k @KPK_RI Dua2nya 🤣
154,Auba 💙😍 https://t.co/5ajiYus3Mn
155,"Beri dukungan kepada @KPK_RI ✊🏼 #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan"
156,Yes 👍🏻 https://t.co/smwthFspQx
157,"Siluman kadal lagi bergerak , tetap waspada dan kompak ✊🏼"
158,"#TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan #TangkapLukasEnembe 
#TangkapAniesBaswedan"
159,Wkwkwk 🤣 https://t.co/WSQ3TcKKsN
160,"Lambungkan kawan ✊🏼 
#TangkapAniesBaswedan 
#TangkapLukasEnembe https://t.co/1Pe4thjbZR"
161,We are the blues 💙✊🏼 https://t.co/ks6OuS6TuS
162,"Kostum hanya topeng dan itu berlaku bagi benalu, pasang badan sudah menjadi proyek tikus politik, sekarang sedang bermain durasi pengalihan jadi butuh kewaspadaan dalam sebuah proses...☕️"
163,@Cintada16 Biar terang dikit warna kostumnya kalau di undang ngopi sama KPK 🤣🫢
164,"@Umysavior_ Namanya juga setan bukan sutan , coba lihat mukanya kek laki2 janggal 🫣"
165,Semua kesempatan dijadikan topeng 🤣 https://t.co/iCmS49jvM5
166,Jangan salah pilih Gubernur https://t.co/6BqSBHpf4n
167,"Pedangang masih punya prinsip keras daripada pendongeng, kalau pedagang pasang harga untuk produknya tanpa melihat kondisi konsumen yang artinya pukul rata tapi kalau pendongeng pilih pasar dulu lalu pasang harga walaupun konsumennya langka...☕️"
168,@Madebylaluna Sentil aja dikit kalau nakal tapi jangan ke arah yang kriwil2 🫢...mungkin lagi pengen di apelin sama sike 🫢
169,"Jejak digitalnya yang mines sudah tersimpan lalu berkeliling dari wadah ke wadah untuk cari dukungan karena berharap sambil menunggu deklarasi dari kepala gerbong itu pun masih hampa, berambisi boleh-boleh saja asal jangan jadi topeng...☕️"
170,@Madebylaluna Santirino sakit apa 🤔
171,"@Madebylaluna Maksudnya yapto belum ada orang yang mampu gantiin posisi dia jadi ketum PP , kalo AB sih hanya nyari dukungan untuk ambisinya ...salam ya buat mamih papih nya sike , santirino belum maen ke rumah kah ?🤔🫢"
172,"@Madebylaluna Belum ada orang yang mampu ganti posisi dia, sike kok nggak malming 🤔?"
173,@Madebylaluna Entar juga terungkap 🤣
174,"Oo gw tau ini maksud tujuannya untuk agenda apa , ngopi ah ☕️ https://t.co/7OQjNiF6C8"
175,Daya tarik dengan skenario sakit ini sakit itu untuk membangun opini orang-orang yang tidak paham jadi simpatisan https://t.co/uMlfoopWT8
176,Yang dibutuhkan sekarang itu sikap untuk pertanggungjawaban bukan bikin cerita kesana kemari https://t.co/O9RTBDO2qn
177,@2Diredja Hai 😍
178,Masih kurang BLTnya 🤔? https://t.co/OxC4PRJcMO
179,"Indikasi ngawur...dan buktinya masih nyaman2 saja , apanya yang dikriminalisasi 🤦🏼‍♂️ https://t.co/YRBS52Ohby"
180,"Kemendagrinya kemana ketika Lukas Enembe dipanggil KPK untuk diperiksa , seharusnya berani mengambil tindakan bukan tunggu teguran dari Presiden 🤔?...#TangkapLukasEnembe ✊🏼"
181,"Sekelas hotman paris saja nolak , namun ada yang aji mumpung 🤣 https://t.co/B3GTKHp1xu"
182,"""Orang-orang baik yang diam bukan takut bersuara tapi diamnya mereka mampu menumbangkan orang-orang jahat yang merasa berjuang"" ~Bung https://t.co/Jab2ZzBXX3"
183,📌...☕️ https://t.co/5ZcErB9u4h https://t.co/rMTesFquDU
184,@krucilan Ya gitulah
185,"@arifin34533 Kalau Sophia Latjuba gw nonton deh , kalau AB ogah"
186,"""Hidup bukanlah tentang 'Aku bisa saja', tapi tentang 'Aku mencoba'. Jangan pikirkan tentang kegagalan, itu adalah pelajaran"" - Ir. Soekarno"
187,Katanya ada tilang elektronik tapi masih ada operasi zebra 😴 https://t.co/pHTsPooQI6
188,Bu Retno 👍🏻😍🇮🇩 https://t.co/557RsIkg2i
189,📌...🔥 https://t.co/q9sETf6h8v https://t.co/tKH0Z7pTCj
190,"Apalagi kalau pertamax harganya sejajar dengan pertalite sudah pasti antriannya sepanjang 10 kilo , apakah peserta nasi bungkus tetap punya agenda dengan pertamax turun harga 🤔 https://t.co/tZ0tiLAXTu"
191,📌...☕️ https://t.co/fbS5W7tx1c https://t.co/a1UPsmtQ9N
192,"Pejabat tidak menghormati hukum berarti menghianati sumpah pejabat negara , alasan sakit tapi bisa mengintruksikan massa simpatisan untuk pasang badan @mohmahfudmd @KPK_RI @DivHumas_Polri https://t.co/Q9OiW2ixzR"
193,Keren 😍🇮🇩 https://t.co/mylQoZeliO
194,"@amatbejo_ Berdoa saja biar Indonesia tetap maju dalam segala sektor, badai tetap ada namun harus dihadapi"
195,@Akun___Receh Said didu masih berharap diajak kembali kerja di pemerintah tapi ngga ada respon dari pemerintah 🤣
196,"@amatbejo_ Ngga ada kaitannya dengan film tersebut dan ngga pernah nonton juga walapun tau film itu, hanya mencoba mengungkapkan sesuatu dengan tulisan ☕️"
197,😂😍 https://t.co/y817KtPblj
198,"Ketika badai berakhir, kita tidak akan ingat bagaimana berhasil melewatinya, bagaimana berhasil bertahan hidup, bahkan tidak akan yakin, apakah badai benar-benar berakhir.  Tapi satu hal yang pasti ketika keluar dari badai, kita tidak akan menjadi orang yang sama...☕️"
199,📌...Dapet gelar baru 🤣 https://t.co/AVEqw2Ajz5 https://t.co/ey5S78HdIK
200,"@RaniKancana__ @panca66 Bukan parah ran, tapi hampir sama dengan udang 🤣"
201,@RaniKancana__ Si panca @panca66 ngga terdeteksi IQ nya karena otaknya kan ngga ada
202,Lalu siapa yang menginstruksikan sebagian rakyat papua jadi pagar ?🤔 https://t.co/ZFlwQ34cMt
203,Ambisi untuk jadi diktator dan bikin skenario adu domba https://t.co/3vgHqxa4n0
204,"Pantesan banyak orang tua menguliahkan anak2nya ke luar negri daripada ke UI , alasannya mungkin untuk pencapaian masa depan https://t.co/b8s2RcE2Nv"
205,Evaluasi yang tepat dari Kapolri ✊🏼 https://t.co/BjwFspGZ3T
206,Bungkus Lukas Enembe ✊🏼 https://t.co/6gVtMx9m5C
207,"Sudah buang2 waktu antara presisi dan persisi karena ""pertimbangan"" https://t.co/ga7AKyBx5n"
208,📌...😍🇮🇩 https://t.co/ovwCmDU7OS
209,"For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future. - Jeremiah 29:11"
210,"Terkadang kita harus melakukan yang terbaik untuk kita dan kehidupan kita, bukan yang terbaik untuk orang lain saja, jangan memilih sesuatu yang dianggap lebih baik karena cerita, pilihlah sesuatu yang membuat semuanya menjadi lebih baik...☕️"
211,"Polri harus berani dan tegas, segala resiko dihadapi bukan buang2 waktu https://t.co/WGHUZFavWh"
212,"Jangan percaya dengan garong , penegak hukum harus tegas ✊🏼 https://t.co/RdlU2Szic7"
213,"Lebay lo berpolitik , pertanyaan dari gw: berapa persen lulusan UI jadi pejabat di era soeharto ? 🤔 https://t.co/4Tcka8DfXP"
