,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count
8381,1497448023214866434,2022-02-26 05:46:44+00:00,https://twitter.com/__Bungs/status/1497448023214866434,@agunbih Kaum karon 😁,1,0,0,,1233136910245253120,agunbih,,535.0,829.0
8382,1497445577792966658,2022-02-26 05:37:01+00:00,https://twitter.com/__Bungs/status/1497445577792966658,Setuju 👍🏻😇 https://t.co/h28yZY2HcZ,1,0,0,,,,,,
8383,1497444925817843715,2022-02-26 05:34:26+00:00,https://twitter.com/__Bungs/status/1497444925817843715,"✝️2 Korintus 6:6
dalam kemurnian hati, pengetahuan, kesabaran, dan kemurahan hati; dalam Roh Kudus dan kasih yang tidak munafik",6,0,1,,,,,,
8384,1497443441910845444,2022-02-26 05:28:32+00:00,https://twitter.com/__Bungs/status/1497443441910845444,@woaini16_ Cabutt.....🤟🏻 https://t.co/ebg4my2nMX,0,1,0,,1235614790505992193,hibah_akun,mars,19009.0,15699.0
8385,1497441828466946050,2022-02-26 05:22:07+00:00,https://twitter.com/__Bungs/status/1497441828466946050,Uang dapur kurang 😂 https://t.co/puOlEKyZLg,6,2,2,,,,,,
8386,1497440346153779208,2022-02-26 05:16:14+00:00,https://twitter.com/__Bungs/status/1497440346153779208,@woaini16_ Susy 🤔🙄🤭,1,2,0,,1235614790505992193,hibah_akun,mars,19009.0,15699.0
8387,1497425979316191235,2022-02-26 04:19:08+00:00,https://twitter.com/__Bungs/status/1497425979316191235,@DCCWRITES Thank you 🙏🏻,1,0,0,,612251181,DCCWRITES,USA,713.0,567.0
8388,1497425836516904960,2022-02-26 04:18:34+00:00,https://twitter.com/__Bungs/status/1497425836516904960,Lambungkan  #TetapJokowi sampai 2024 https://t.co/uUHOD7rJFk,19,1,3,,,,,,
8389,1497422433938132993,2022-02-26 04:05:03+00:00,https://twitter.com/__Bungs/status/1497422433938132993,@DCCWRITES Amen 😇,1,0,0,,612251181,DCCWRITES,USA,713.0,567.0
8390,1497420751355269122,2022-02-26 03:58:22+00:00,https://twitter.com/__Bungs/status/1497420751355269122,@DCCWRITES Happy weekend D 😇,1,1,0,,612251181,DCCWRITES,USA,713.0,567.0
8391,1497408200168992769,2022-02-26 03:08:30+00:00,https://twitter.com/__Bungs/status/1497408200168992769,@liskenhsitorus @_memoryusang ??,0,0,0,,1423862931511382022,liskenhsitorus,,11751.0,8828.0
8392,1497293152327069697,2022-02-25 19:31:20+00:00,https://twitter.com/__Bungs/status/1497293152327069697,@aravaller13 Tau nya cuma telen 😁,0,0,0,,1488052038185668609,aravaller13,,156.0,199.0
8393,1497289630823051264,2022-02-25 19:17:20+00:00,https://twitter.com/__Bungs/status/1497289630823051264,@aravaller13 Iya 😁👍🏻,1,1,0,,1488052038185668609,aravaller13,,156.0,199.0
8394,1497287982901911553,2022-02-25 19:10:48+00:00,https://twitter.com/__Bungs/status/1497287982901911553,@aravaller13 Harusnya ada tulisan diet tapi lupa 🙄🤭,1,1,0,,1488052038185668609,aravaller13,,156.0,199.0
8395,1497287643440181251,2022-02-25 19:09:27+00:00,https://twitter.com/__Bungs/status/1497287643440181251,@mahesa_rini2 🤭😴,0,0,0,,,,,,
8396,1497286750405738497,2022-02-25 19:05:54+00:00,https://twitter.com/__Bungs/status/1497286750405738497,@mahesa_rini2 Sampai pules 😂,0,0,0,,,,,,
8397,1497278114367361025,2022-02-25 18:31:35+00:00,https://twitter.com/__Bungs/status/1497278114367361025,@GarengHallu 🙄🤭,1,0,0,,1132290734046892032,GarengHallu,Indonesia🇮🇩🇮🇩 Lampung-SMG,43023.0,12506.0
8398,1497276966386352132,2022-02-25 18:27:01+00:00,https://twitter.com/__Bungs/status/1497276966386352132,Amen 😇 https://t.co/wS8T5CHcrQ,13,0,1,,,,,,
8399,1497276622780583938,2022-02-25 18:25:39+00:00,https://twitter.com/__Bungs/status/1497276622780583938,Oatmeal Carmelitas https://t.co/RIp79okodE https://t.co/R8BDh114GP,6,2,0,,,,,,
8400,1497275928874938374,2022-02-25 18:22:54+00:00,https://twitter.com/__Bungs/status/1497275928874938374,"The world is not to be hurt but more want to have a world without common sense, arrogance is not strength and it will be a breaking point https://t.co/Qxmn4fsw7d",5,0,0,,,,,,
8401,1497271821942476801,2022-02-25 18:06:34+00:00,https://twitter.com/__Bungs/status/1497271821942476801,Dari dulu juga udah banyak penjilat...☕️ https://t.co/mJ2IGzujHu,1,0,0,,,,,,
8402,1497270969609580545,2022-02-25 18:03:11+00:00,https://twitter.com/__Bungs/status/1497270969609580545,Kek lo paling benar 👎🏻 https://t.co/6Nmmcgn8tq,2,0,0,,,,,,
8403,1497262153581035520,2022-02-25 17:28:09+00:00,https://twitter.com/__Bungs/status/1497262153581035520,@Lind_Rachmawati Waduh 🤦🏼‍♂️,0,1,0,,1169223632679137280,Lind_Rachmawati,,633.0,618.0
